addres,code,dastresi,tejary,darmany,farhangi_honary,tafrihy,rest,parks
آنالیز قیمت فروش آپارتمان در تهران - امیرآباد ,10065743,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سئول ,10270403,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دربند ,10270707,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - الهیه ,10301891,4.0,4.0,3.0,11.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - کریم خان ,3324601,4.0,2.0,6.0,7.0,3.0,9.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - هنگام ,10267061,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10276440,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10298253,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - حکیمیه ,10263718,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10150489,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10145708,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10322240,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرک غرب ,10298651,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10297640,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - میدان رسالت ,10263920,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10263480,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10244839,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10275961,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - وحیدیه ,3891423,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گلبرگ ,10296914,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سبلان ,10261437,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نظام آباد ,3990713,4.0,4.0,4.0,2.0,3.0,8.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10297897,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - زعفرانیه ,10322194,4.0,3.0,2.0,15.0,1.0,8.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - میدان رسالت ,10263364,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - قنات کوثر ,10257359,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ولنجک ,10131873,5.0,5.0,4.0,7.0,4.0,4.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10385365,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10240945,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10257355,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خواجه نظام ,10385361,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,10350446,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - کن ,10273925,4.0,2.0,5.0,9.0,3.0,8.0,1.0
آنالیز قیمت فروش آپارتمان در تهران - علی آباد ,10385360,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جمالزاده ,10385358,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10385357,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10350462,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10350249,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,10244607,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - شهران ,10253157,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - شهران ,10302114,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - جمالزاده ,10385356,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10261549,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - طالقانی ,10335496,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گیشا ,10385354,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,3890998,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10261575,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - فاطمی ,10385352,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مطهری(از مدرس تا شریعتی) ,10385350,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10272316,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10385345,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10385344,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10385343,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10385342,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10354145,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10385341,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - آیت اله کاشانی ,10385340,5.0,2.0,2.0,3.0,1.0,5.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10385338,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - ولنجک ,10265649,5.0,5.0,4.0,7.0,4.0,4.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10258982,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10273320,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10346836,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10335594,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گلبرگ ,2913180,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10346354,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10346305,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10240364,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10268957,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10351998,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10268279,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - نامجو(گرگان) ,10346418,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10262927,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - وحیدیه ,10268771,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - معلم ,10206295,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - آزادی(از میدان انقلاب تا نواب) ,10092783,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - حکیمیه ,10385326,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - کوی فراز ,10275565,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نیاوران ,10265932,0.0,5.0,3.0,3.0,0.0,11.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10385318,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ازگل ,10385301,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بزرگراه ارتش (لشکرک) ,10162069,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شیخ بهایی ,3271692,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دارآباد ,10219278,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,3166598,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - وحیدیه ,10385297,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - صادقیه ,10385291,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10385289,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10249595,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - آیت اله کاشانی ,10385287,5.0,2.0,2.0,3.0,1.0,5.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - نیرو هوایی ,10272994,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نیرو هوایی ,10250285,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران نو ,10273243,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - آیت اله کاشانی ,10322424,5.0,2.0,2.0,3.0,1.0,5.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - میدان امام حسین ,3878186,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نیرو هوایی ,10273380,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10300049,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10385274,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - وحیدیه ,10385261,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10333105,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10267962,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10349616,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10162555,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10147903,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10129228,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10115141,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10066287,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نظام آباد ,3393543,4.0,4.0,4.0,2.0,3.0,8.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - تهران نو ,10385248,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10322370,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10385246,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران نو ,10385245,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10301239,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10385243,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خواجه نظام ,10385241,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سبلان ,10300187,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سبلان ,3336704,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10385237,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شمس آباد ,10385235,4.0,4.0,3.0,4.0,5.0,8.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - شهرآرا ,10301626,4.0,4.0,2.0,4.0,1.0,5.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - بزرگراه محلاتی ( آهنگ) ,10385233,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - آپادانا ,10297348,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - انقلاب(از پیچ شمیران تا میدان امام حسین) ,10301373,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شمس آباد ,10385232,4.0,4.0,3.0,4.0,5.0,8.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10385231,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10385229,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بزرگراه محلاتی ( آهنگ) ,10300170,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پاسداران ,10334577,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هروی ,10385227,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هروی ,10333387,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - یوسف آباد ,10333002,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10385226,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - پاسداران ,10332771,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هروی ,10385225,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شمس آباد ,10332963,4.0,4.0,3.0,4.0,5.0,8.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - اختیاریه ,10298936,4.0,2.0,5.0,7.0,2.0,4.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10385223,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - هروی ,10268844,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10266751,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - پاسداران ,10261474,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ولیعصر( از همت تا خیابان انقلاب) ,10118357,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دروس ,10333862,4.0,1.0,4.0,7.0,2.0,3.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - خیابان مازندران ,10266743,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10183122,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - اختیاریه ,10385218,4.0,2.0,5.0,7.0,2.0,4.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - بنی هاشم ,10300141,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - یوسف آباد ,10385217,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10385216,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فاطمی ,10301310,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10300047,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جشنواره ,10385214,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - یوسف آباد ,10187288,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شیخ بهایی ,10276531,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شمس آباد ,10257405,4.0,4.0,3.0,4.0,5.0,8.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - هروی ,10265976,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - یوسف آباد ,10385210,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شمس آباد ,10256750,4.0,4.0,3.0,4.0,5.0,8.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - اختیاریه ,3996550,4.0,2.0,5.0,7.0,2.0,4.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10333090,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خیابان مازندران ,3463760,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - توانیر ,10116745,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اختیاریه ,10252517,4.0,2.0,5.0,7.0,2.0,4.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - فاطمی ,3931597,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - کن ,10300796,4.0,2.0,5.0,9.0,3.0,8.0,1.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10300450,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شمس آباد ,10267630,4.0,4.0,3.0,4.0,5.0,8.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10300443,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10300872,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10300884,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10177540,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10300083,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10300889,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10264761,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10300686,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10300504,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - میرداماد ,10251400,5.0,8.0,6.0,8.0,3.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10385206,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10299879,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10299874,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10187838,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10273713,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهران ,10218167,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - حکیمیه ,10262398,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10186992,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - شمس آباد ,3886745,4.0,4.0,3.0,4.0,5.0,8.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - حکیمیه ,10248078,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مینی سیتی ,10300833,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10125092,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهران ,10187693,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - ازگل ,10251119,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10198858,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک غرب ,10385202,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10271801,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - فرمانیه ,10334780,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10333591,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10350588,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10385200,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک غرب ,10205679,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10385199,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10385198,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - قصرالدشت ,10385197,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10385196,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جمهوری(از حافظ تا میدان جمهوری) ,10385195,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10385194,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - امیرآباد ,10351638,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10333178,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جمالزاده ,10385193,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گیشا ,10332376,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10333111,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جمالزاده ,10301285,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10385192,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اقدسیه ,10385191,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ستاری (از آب شناسان تا میدان نور) ,10247399,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نیاوران ,10300825,0.0,5.0,3.0,3.0,0.0,11.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10385190,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - آذربایجان ,10269005,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10257938,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ونک ,3997749,4.0,7.0,7.0,7.0,5.0,12.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - کوی فراز ,10133602,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دربند ,3856431,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گیشا ,10332255,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سراج ,10385189,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10334237,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - زعفرانیه ,10385188,4.0,3.0,2.0,15.0,1.0,8.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - جمالزاده ,3842411,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ولنجک ,10385187,5.0,5.0,4.0,7.0,4.0,4.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10300418,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جمهوری(از حافظ تا میدان جمهوری) ,10253819,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - زعفرانیه ,10322196,4.0,3.0,2.0,15.0,1.0,8.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - زعفرانیه ,10241691,4.0,3.0,2.0,15.0,1.0,8.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - اوین ,10118249,4.0,0.0,2.0,1.0,0.0,0.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - ولنجک ,10241565,5.0,5.0,4.0,7.0,4.0,4.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10272446,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10347086,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10272259,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گلبرگ ,10347059,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10129053,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - توانیر ,10333895,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10346604,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10269516,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10385167,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10251215,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10385164,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خیابان مازندران ,10104296,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سهروردی جنوبی ,10123240,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - تهران نو ,10271857,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خیابان مازندران ,10065649,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران نو ,3229306,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نیرو هوایی ,10202955,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گلبرگ ,10271560,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10271966,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10346809,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,3587478,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10270503,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10333748,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10335890,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10348294,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10351535,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10217759,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10301571,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10276118,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هنگام ,10298285,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,10385160,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - معلم ,10385157,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - مینی سیتی ,3889686,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10385150,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10351749,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خواجه عبداله ,3839183,,,,,,,
,10385141,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خواجه نظام ,10385129,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10385127,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - جمهوری(از حافظ تا میدان جمهوری) ,10385122,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - میدان امام حسین ,10120909,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,10275128,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - حکیمیه ,10262599,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,3825992,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - طرشت ,10129987,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - طرشت ,10202859,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10350761,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10385091,,,,,,,
